,WSPD,GST,PRES,ATMP,WTMP,month_sin,month_cos,day_sin,day_cos,hour_sin,hour_cos,WDIR_sin,WDIR_cos
2022-01-01 00:00:00,3.21,4.7,1018.7700000000001,20.35,22.6,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,0.0,1.0,0.1339861854182918,-0.9909831997148363
2022-01-01 01:00:00,3.0100000000000002,3.8,1019.0899999999999,20.009999999999998,22.55,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,0.25881904510252074,0.9659258262890683,0.2044960518417905,-0.978867388761685
2022-01-01 02:00:00,2.45,3.5,1019.35,19.96,22.48,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.15643446504023098,-0.9876883405951377
2022-01-01 03:00:00,1.61,2.8,1019.39,19.95,22.38,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,0.7071067811865476,0.7071067811865476,0.5764323161697933,-0.8171448983351285
2022-01-01 04:00:00,1.1300000000000001,2.2,1019.25,19.91,22.3,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,0.8660254037844386,0.5000000000000001,0.7253743710122877,-0.6883545756937538
2022-01-01 05:00:00,1.3599999999999999,2.4,1018.8399999999999,19.77,22.2,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,0.9659258262890683,0.25881904510252074,0.8737722230354653,-0.4863353804234904
2022-01-01 06:00:00,2.1399999999999997,2.9,1018.6600000000001,19.7,22.2,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,1.0,6.123233995736766e-17,0.3073566177998073,-0.9515944038794382
2022-01-01 07:00:00,2.3899999999999997,5.2,1018.3399999999999,19.39,22.2,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,0.9659258262890683,-0.25881904510252063,0.912120116172273,-0.4099230338415728
2022-01-01 08:00:00,2.5300000000000002,4.1,1018.21,19.235,22.2,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,0.8660254037844387,-0.4999999999999998,0.8151277957285542,-0.579281172342679
2022-01-01 09:00:00,1.9899999999999998,3.8,1018.0,19.240000000000002,22.2,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,0.7071067811865476,-0.7071067811865475,0.9396926207859084,-0.3420201433256687
2022-01-01 10:00:00,2.54,4.7,1017.8399999999999,19.4,22.19,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,0.49999999999999994,-0.8660254037844387,0.9099612708765433,-0.4146932426562388
2022-01-01 11:00:00,3.07,5.3,1017.8799999999999,19.65,22.1,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,0.258819045102521,-0.9659258262890682,0.7869350219613374,-0.6170358751407485
2022-01-01 12:00:00,2.85,4.8,1018.07,19.71,22.1,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,1.2246467991473532e-16,-1.0,0.5328762760707298,-0.8461931661275641
2022-01-01 13:00:00,2.91,5.2,1018.4200000000001,20.36,22.14,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,-0.2588190451025208,-0.9659258262890683,0.7372773368101241,-0.6755902076156602
2022-01-01 14:00:00,2.77,4.4,1019.0600000000001,21.72,22.31,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,-0.4999999999999997,-0.8660254037844388,0.6142852000989434,-0.7890840848346905
2022-01-01 15:00:00,5.13,7.5,1019.2,23.330000000000002,22.2,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,-0.7071067811865471,-0.7071067811865479,0.21473532716706362,-0.9766722783341678
2022-01-01 16:00:00,6.81,10.1,1018.78,23.65,22.2,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,-0.8660254037844385,-0.5000000000000004,0.17536672609198692,-0.9845031799744367
2022-01-01 17:00:00,7.279999999999999,10.1,1017.9799999999999,24.07,22.27,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,-0.9659258262890683,-0.25881904510252063,0.14090123193758286,-0.9900236577165575
2022-01-01 18:00:00,7.81,10.6,1017.24,23.93,22.490000000000002,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,-1.0,-1.8369701987210297e-16,0.06627390040000057,-0.99780146829205
2022-01-01 19:00:00,7.94,10.3,1016.82,24.009999999999998,22.64,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,-0.9659258262890684,0.2588190451025203,0.07845909572784507,-0.996917333733128
2022-01-01 20:00:00,7.38,10.7,1016.47,24.15,22.7,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,-0.8660254037844386,0.5000000000000001,0.04710645070964251,-0.99888987496197
2022-01-01 21:00:00,7.290000000000001,10.0,1016.4200000000001,24.23,22.7,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,-0.7071067811865477,0.7071067811865474,0.12879559657756287,-0.9916711623830904
